best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,city,state_id,lat,lng,population,county_name
KEC-74,78.92,15.68,2,True,Carmel,IN,39.9658,-86.1461,91065.0,Hamilton
KIG-76,47.11,29.66,0,False,Huntingburg,IN,38.3009,-86.9625,5566.0,Dubois
WXK-74,46.24,31.64,0,False,Kokomo,IN,40.464,-86.1277,79048.0,Howard
WXJ-58,70.42,19.48,2,True,Auburn,IN,41.3666,-85.0559,22257.0,DeKalb
WNG-689,75.1,9.3,3,True,Crown Point,IN,41.414,-87.3455,29176.0,Lake
KEC-74,76.83,15.12,1,True,New Whiteland,IN,39.5618,-86.0994,6025.0,Johnson
KEC-74,64.19,26.86,2,True,Danville,IN,39.7607,-86.5081,9676.0,Hendricks
KHB-52,55.95,17.48,1,True,Connersville,IN,39.6582,-85.141,14740.0,Fayette
WXJ-58,66.0,23.35,2,True,Decatur,IN,40.8301,-84.9281,10572.0,Adams
WXK-74,62.59,17.86,1,True,Lafayette,IN,40.399,-86.8592,157955.0,Tippecanoe
KIG-76,71.88,14.86,1,True,Boonville,IN,38.0452,-87.2739,6198.0,Warrick
KWO-39,74.48,18.45,4,True,East Chicago,IN,41.6487,-87.4531,28418.0,Lake
KIH-43,89.42,4.64,1,True,Clarksville,IN,38.3225,-85.7674,21920.0,Clark
KZZ-61,43.44,18.67,0,False,Tell City,IN,37.9528,-86.7596,9677.0,Perry
KEC-74,78.51,13.36,2,True,Fishers,IN,39.959,-85.968,90127.0,Hamilton
WWG-72,82.9,9.91,2,True,Bedford,IN,38.8602,-86.4895,14896.0,Lawrence
KEC-74,72.71,22.17,2,True,Zionsville,IN,39.999,-86.2921,26784.0,Boone
KEC-74,72.07,18.51,2,True,Noblesville,IN,40.0354,-86.0056,60183.0,Hamilton
KIH-43,90.53,4.12,1,True,New Albany,IN,38.3078,-85.8242,36670.0,Floyd
KEC-74,70.97,20.28,1,True,Shelbyville,IN,39.5319,-85.7753,20639.0,Shelby
WXJ-57,49.14,38.51,0,False,Rochester,IN,41.0591,-86.196,7077.0,Fulton
KJY-93,83.88,8.85,2,True,Yorktown,IN,40.183,-85.5123,11210.0,Delaware
KZZ-27,45.81,30.1,0,False,Crawfordsville,IN,40.0433,-86.8966,18109.0,Montgomery
KJY-93,74.4,15.86,2,True,Anderson,IN,40.0875,-85.6921,86565.0,Madison
KIG-76,76.1,13.5,1,True,Evansville,IN,37.9882,-87.5339,233353.0,Vanderburgh
KWO-39,69.96,31.29,2,True,Saint John,IN,41.4431,-87.469,16800.0,Lake
WXJ-57,74.79,15.68,2,True,Nappanee,IN,41.4452,-85.9962,7074.0,Elkhart
KIH-43,90.53,4.12,1,True,Sellersburg,IN,38.4029,-85.7705,8765.0,Clark
KEC-74,80.41,13.16,1,True,Speedway,IN,39.7937,-86.2479,12102.0,Marion
WXK-74,58.35,19.65,1,True,Logansport,IN,40.7502,-86.3559,20838.0,Cass
KIG-76,69.29,13.08,1,True,Princeton,IN,38.3552,-87.5785,8632.0,Gibson
KZZ-36,65.98,11.38,3,True,Winona Lake,IN,41.2167,-85.8106,5166.0,Kosciusko
KWO-39,70.05,30.99,3,True,Portage,IN,41.5866,-87.1792,36505.0,Porter
KJY-62,69.73,11.62,4,True,Westville,IN,41.5381,-86.9054,5650.0,LaPorte
KIH-43,55.73,21.84,2,True,Salem,IN,38.6048,-86.0977,6396.0,Washington
KEC-74,93.12,3.05,2,True,Cumberland,IN,39.7852,-85.9498,5599.0,Marion
KJY-93,68.94,24.89,2,True,Hartford City,IN,40.4536,-85.3735,5862.0,Blackford
WXJ-57,90.27,4.2,1,True,Mishawaka,IN,41.6733,-86.1667,48679.0,St. Joseph
WXJ-93,59.11,39.22,2,True,Berne,IN,40.6567,-84.9555,5631.0,Adams
KEC-74,59.02,35.6,2,True,Tipton,IN,40.2818,-86.0424,6555.0,Tipton
KJY-93,56.21,32.09,2,True,Portland,IN,40.4377,-84.9835,5946.0,Jay
WWG-83,61.71,17.39,1,True,Vincennes,IN,38.6759,-87.5102,20726.0,Knox
WWG-73,64.14,13.97,1,True,North Vernon,IN,39.0151,-85.6287,11575.0,Jennings
WXM-78,114.8,0.25,3,True,Bloomington,IN,39.1637,-86.5257,114140.0,Monroe
KEC-74,79.97,12.73,1,True,Greenwood,IN,39.6019,-86.1073,56545.0,Johnson
KJY-93,70.88,18.81,2,True,Alexandria,IN,40.2583,-85.676,5024.0,Madison
KIH-42,68.41,20.14,2,True,Lawrenceburg,IN,39.0989,-84.8713,12787.0,Dearborn
WWG-83,77.32,13.61,1,True,Washington,IN,38.6592,-87.1721,13090.0,Daviess
KIG-76,43.73,33.11,0,False,Jasper,IN,38.3936,-86.9405,16245.0,Dubois
WXJ-58,73.21,17.6,2,True,Garrett,IN,41.3532,-85.1236,6360.0,DeKalb
KEC-74,59.53,39.19,1,True,Greensburg,IN,39.3515,-85.5024,11928.0,Decatur
KJY-93,85.56,7.28,1,True,Muncie,IN,40.1989,-85.395,89186.0,Delaware
WNG-689,69.79,10.79,4,True,Merrillville,IN,41.4728,-87.3197,34994.0,Lake
KEC-74,87.55,5.76,1,True,Beech Grove,IN,39.7153,-86.087,14740.0,Marion
KEC-74,62.67,22.47,1,True,Mooresville,IN,39.6038,-86.3677,9660.0,Morgan
KEC-74,85.13,7.64,1,True,Indianapolis,IN,39.7771,-86.1458,1550488.0,Marion
KJY-62,85.87,7.0,3,True,Michigan City,IN,41.7098,-86.8705,65356.0,LaPorte
KIH-43,63.02,35.77,3,True,Madison,IN,38.758,-85.397,18298.0,Jefferson
KEC-74,62.11,31.38,2,True,Rushville,IN,39.6154,-85.4464,6444.0,Rush
WXJ-57,68.63,19.6,1,True,Plymouth,IN,41.3482,-86.3188,12392.0,Marshall
WNG-689,63.78,13.15,2,True,Cedar Lake,IN,41.3693,-87.438,12183.0,Lake
WXK-72,84.7,5.7,1,True,Greencastle,IN,39.6431,-86.8419,10812.0,Putnam
WWG-83,69.85,14.62,1,True,Linton,IN,39.0357,-87.1587,5644.0,Greene
KWO-39,67.22,28.65,3,True,Lake Station,IN,41.5729,-87.26,11952.0,Lake
KEC-74,85.94,6.93,2,True,Lawrence,IN,39.8674,-85.9904,47866.0,Marion
KWO-39,70.67,28.79,3,True,Schererville,IN,41.487,-87.4444,28701.0,Lake
WXJ-58,63.34,23.78,2,True,Kendallville,IN,41.4441,-85.2578,10444.0,Noble
KWO-39,65.45,31.38,3,True,Hobart,IN,41.5139,-87.2728,28248.0,Lake
KEC-74,71.83,19.13,1,True,Franklin,IN,39.4935,-86.0541,24867.0,Johnson
KWO-39,72.03,24.57,3,True,Highland,IN,41.5484,-87.4587,22737.0,Lake
KJY-93,57.36,31.07,2,True,Union City,IN,40.1994,-84.8204,5295.0,Randolph
KIG-76,56.0,27.88,1,True,Mount Vernon,IN,37.9364,-87.8955,6821.0,Posey
WNG-689,41.16,28.72,0,False,Rensselaer,IN,40.9381,-87.1683,6091.0,Jasper
KJY-93,80.95,12.12,2,True,New Castle,IN,39.919,-85.3697,21949.0,Henry
WXJ-58,83.88,8.86,1,True,New Haven,IN,41.0669,-85.0282,15384.0,Allen
