,best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,city,state_id,lat,lng,population,county_name,county_name_clean,rurality_multiplier,hazard_multiplier,access_multiplier,coastal_flood_count,wildfire_count,hurricane_count,tornado_count,coastal_flood_count_pct,wildfire_count_pct,hurricane_count_pct,tornado_count_pct,event_exposure_score,gap_depth,combined_multiplier,priority_score
33,KHB-36,37.48,33.56,0,False,Leesburg,VA,39.1057,-77.5543,52607.0,Loudoun,Loudoun,1.0,1.746492031689225,1.062037837837838,300,15,0,1,0.9902327514546966,0.8868453865336658,0.4553200332502078,0.3299044056525353,0.6655756442227765,12.520000000000003,1.2487784213929425,822494.9699060161
34,WXJ-38,4.68,168.37,0,False,Grants,NM,35.1538,-107.8347,12305.0,Cibola,Cibola,1.625,1.5067090345066088,1.1228222222222222,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,45.32,1.434086540531948,799736.4288180515
35,WZ-2505,22.21,31.73,0,False,Arvin,CA,35.1944,-118.8306,21380.0,Kern,Kern,1.125,1.8370639876136627,1.0955922267679719,0,27,0,0,0.42684954280964255,0.9139650872817955,0.4553200332502078,0.13528678304239403,0.48285536159601,27.79,1.3350480659635797,793219.075401874
36,WWG-57,41.98,35.32,0,False,Newark,OH,40.0703,-82.4252,78563.0,Licking,Licking,1.0,1.6651348727418094,1.0863826086956523,0,0,0,1,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.3299044056525353,0.375831255195345,8.020000000000003,1.2312361481346037,775771.4361573092
37,KIG-78,37.33,33.08,0,False,Palm Springs,CA,33.8012,-116.538,47689.0,Riverside,Riverside,1.0,1.797485115931545,1.0985074093233174,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,12.670000000000002,1.275690007770727,770796.9444899259
38,WXL-43,37.24,38.99,0,False,Pottsville,PA,40.6798,-76.2092,41479.0,Schuylkill,Schuylkill,1.375,1.7442072300165616,1.1070952380952381,0,1,0,2,0.42684954280964255,0.6357024106400665,0.4553200332502078,0.44305901911886947,0.4902327514546966,12.759999999999998,1.406169990188246,744246.4592937129
39,KZZ-28,39.65,28.04,0,False,Staunton,VA,38.1593,-79.0608,58077.0,Staunton (city),Staunton,1.25,1.1983507754151517,1.1099714285714286,0,1,0,0,0.42684954280964255,0.6357024106400665,0.4553200332502078,0.13528678304239403,0.4132896924355777,10.350000000000001,1.1910222166112554,715919.821787265
40,WXL-71,36.22,25.33,0,False,Junction City,KS,39.0268,-96.8495,40157.0,Geary,Geary,1.25,1.4300287369997398,1.0751818181818182,0,0,0,6,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.7723399833748961,0.4864401496259352,13.780000000000001,1.2516032477481716,692591.5037211655
41,WXL-55,32.9,35.52,0,False,Shamokin,PA,40.7883,-76.555,29054.0,Northumberland,Northumberland,1.375,1.6523197215295093,1.1115599999999999,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,17.1,1.3792706835475412,685253.9505204136
42,KQC-45,13.56,106.79,0,False,Twentynine Palms,CA,34.1484,-116.0655,13410.0,San Bernardino,San Bernardino,1.0,1.79703982331068,1.091445912090586,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,36.44,1.2733802262773126,622250.4907247621
